City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pevek,69.7008,170.3133,-32.2,100,100,0.94,RU,2023-02-07
1,Stralsund,54.3091,13.0818,3.34,58,40,3.58,DE,2023-02-07
2,Atuona,-9.8,-139.0333,25.88,74,16,8.18,PF,2023-02-07
3,Henties Bay,-22.116,14.2845,21.52,72,66,5.12,,2023-02-07
4,Ushuaia,-54.8,-68.3,9.81,62,40,6.69,AR,2023-02-07
5,Ballyshannon,54.5,-8.1833,7.92,78,88,2.48,IE,2023-02-07
6,Bredasdorp,-34.5322,20.0403,23.77,60,100,5.68,ZA,2023-02-07
7,Vila Velha,-20.3297,-40.2925,31.97,67,40,5.14,BR,2023-02-07
8,Cape Town,-33.9258,18.4232,25.23,73,20,10.29,ZA,2023-02-07
9,Marovoay,-16.1,46.6333,27.26,85,100,2.02,MG,2023-02-07
10,Saint-Joseph,-21.3667,55.6167,28.21,80,49,5.39,RE,2023-02-07
11,Verkhoyansk,67.5447,133.385,-47.89,100,88,0.7,RU,2023-02-07
12,Vardø,70.3705,31.1107,2.99,81,75,10.8,NO,2023-02-07
13,Butaritari,3.0707,172.7902,27.25,78,100,10.04,KI,2023-02-07
14,Lata,40.1629,-8.3327,13.78,41,0,2.05,PT,2023-02-07
15,Dikson,73.5069,80.5464,-30.78,97,53,4.51,RU,2023-02-07
16,Kingsville,27.5159,-97.8561,21.14,87,100,5.66,US,2023-02-07
17,Datong,40.0936,113.2914,-3.54,50,0,2.31,CN,2023-02-07
18,Deep River,46.1001,-77.4995,-10.14,80,94,3.13,CA,2023-02-07
19,Hermanus,-34.4187,19.2345,21.92,77,100,5.25,ZA,2023-02-07
20,Omboué,-1.5746,9.2618,28.42,70,94,3.12,GA,2023-02-07
21,Adrar,20.5022,-10.0711,24.12,15,2,5.67,MR,2023-02-07
22,Nizhniy Kuranakh,58.8353,125.4869,-34.73,99,99,0.61,RU,2023-02-07
23,Orlik,52.5178,99.825,-23.84,91,100,1.3,RU,2023-02-07
24,Bluff,-46.6,168.3333,11.56,75,68,11.89,NZ,2023-02-07
25,Port Blair,11.6667,92.75,27.02,83,40,1.03,IN,2023-02-07
26,Takoradze,4.8845,-1.7554,28.66,71,32,4.3,GH,2023-02-07
27,Guerrero Negro,27.9769,-114.0611,12.48,41,5,4.12,MX,2023-02-07
28,Skegness,53.1436,0.3363,9.08,75,7,3.01,GB,2023-02-07
29,Oktyabr'skiy,54.4815,53.471000000000004,-16.52,100,90,1.75,RU,2023-02-07
30,Bambous Virieux,-20.3428,57.7575,27.9,78,40,5.14,MU,2023-02-07
31,Punta Arenas,-53.15,-70.9167,13.06,54,75,5.66,CL,2023-02-07
32,Novopodrezkovo,55.9428,37.3467,-4.99,73,100,3.0,RU,2023-02-07
33,Svetlaya,46.5389,138.3297,-11.23,76,0,3.0,RU,2023-02-07
34,Chokurdakh,70.6333,147.9167,-41.67,100,98,1.76,RU,2023-02-07
35,Rocky Mountain House,52.3668,-114.9188,0.19,69,62,3.07,CA,2023-02-07
36,Wamba,8.9333,8.6,37.98,7,86,4.31,NG,2023-02-07
37,Saint Anthony,45.0205,-93.21799999999999,0.78,85,100,7.72,US,2023-02-07
38,Barrow,71.2906,-156.7887,-21.99,77,100,2.57,US,2023-02-07
39,Puga,21.5833,-104.8167,7.04,100,0,0.0,MX,2023-02-07
40,Rikitea,-23.1203,-134.9692,26.05,71,34,4.82,PF,2023-02-07
41,Amberley,39.2048,-84.428,11.04,58,100,3.13,US,2023-02-07
42,Tuktoyaktuk,69.4541,-133.0374,-35.95,99,94,1.37,CA,2023-02-07
43,Port Alfred,-33.5906,26.891,25.1,81,78,1.79,ZA,2023-02-07
44,Hobart,-42.8794,147.3294,13.92,66,100,5.66,AU,2023-02-07
45,Upernavik,72.7868,-56.1549,-24.83,92,100,3.16,GL,2023-02-07
46,Assiut,27.180999999999997,31.1837,17.1,26,100,7.31,EG,2023-02-07
47,Talnakh,69.4865,88.3972,-20.93,98,99,2.78,RU,2023-02-07
48,Alanya,36.5438,31.9998,11.07,31,8,3.66,TR,2023-02-07
49,Calabozo,8.9242,-67.4293,29.16,51,77,4.78,VE,2023-02-07
50,Vaini,-21.2,-175.2,24.09,100,75,0.51,TO,2023-02-07
51,Carballo,43.213,-8.691,14.87,59,11,5.88,ES,2023-02-07
52,Pirogovo,56.7796,53.1495,-16.08,99,10,1.54,RU,2023-02-07
53,Kapaa,22.0752,-159.319,21.72,93,13,5.32,US,2023-02-07
54,Dillon,34.4166,-79.3712,8.3,63,49,1.57,US,2023-02-07
55,Maţāy,28.419,30.7792,16.14,34,74,5.93,EG,2023-02-07
56,Puerto Ayora,-0.7393,-90.3518,27.98,92,26,4.02,EC,2023-02-07
57,Torbay,47.6666,-52.7314,-4.68,84,100,10.73,CA,2023-02-07
58,Kargasok,59.0556,80.8572,-13.63,96,98,2.75,RU,2023-02-07
59,Vostok,46.4856,135.8833,-16.96,98,100,2.02,RU,2023-02-07
60,East London,-33.0153,27.9116,25.52,83,40,5.66,ZA,2023-02-07
61,Albany,42.6001,-73.9662,-4.55,71,5,2.28,US,2023-02-07
62,Busselton,-33.65,115.3333,18.22,83,0,6.85,AU,2023-02-07
63,Lehola,59.2925,24.3279,1.53,96,100,4.63,EE,2023-02-07
64,Kavaratti,10.5669,72.642,27.19,69,100,5.25,IN,2023-02-07
65,Hithadhoo,-0.6,73.0833,27.81,68,100,5.4,MV,2023-02-07
66,Tortolì,39.9256,9.6572,8.77,64,99,6.53,IT,2023-02-07
67,Itoman,26.1247,127.6694,20.01,83,75,5.66,JP,2023-02-07
68,Borogontsy,62.6683,131.1683,-43.69,100,100,0.23,RU,2023-02-07
